city,people,x,y
Владивосток,231,43.115542,131.885494
Красноярск,1,56.010569,92.852572
Los Angeles,3,34.055863,-118.246139
Москва,106,55.755864,37.617698
Limassol,6,34.687014,33.036281
Gayville,1,44.370499,-103.760087
New York City,1,40.714627,-74.002863
Новосибирск,3,55.030204,82.92043
Чита,1,52.033635,113.501049
Санкт-Петербург,18,59.938784,30.314997
Пенза,1,53.195042,45.018316
Александров,1,56.397774,38.727621
Элиста,1,46.307743,44.269759
Bangkok,1,13.77137,100.513782
Sydney,1,-33.865255,151.216484
Набережные Челны,1,55.741272,52.403662
Тарасовка,1,55.959984,37.825029
Vancouver,2,49.2846,-123.116894
Фрязино,1,55.961339,38.042808
Белогорск,1,50.921292,128.473926
Springfield,1,37.189573,-93.278193
Липецк,1,52.608826,39.599229
Тула,2,54.193122,37.617348
Озерск,2,55.763189,60.707608
Birmingham,1,52.480513,-1.89735
Иркутск,1,52.289588,104.280606
Malé,1,4.174972,73.509688
Beograd,1,44.816245,20.460469
Челябинск,1,55.159902,61.402554
Киев,2,50.450441,30.52355
Хабаровск,3,48.480229,135.071917
Биробиджан,1,48.78992,132.924746
Долгопрудный,1,55.933302,37.51423
Спасск-Дальний,1,44.597647,132.817568
Артем,1,43.353047,132.180339
Краснодар,2,45.03547,38.975313
Barcelona,1,41.386378,2.18676
Якутск,1,62.027221,129.732178
Auckland,1,-36.851747,174.762972
Воронеж,1,51.660781,39.200296
Satans Kingdom,1,43.876498,-73.064186
Дубна,1,56.736345,37.162189
Казань,2,55.796127,49.106414
Минск,2,53.902284,27.561831
Гнилое Болото,1,55.995679,67.272352
Южно-Сахалинск,1,46.957771,142.729587
Таганрог,1,47.208735,38.936694
Томск,1,56.484645,84.947649
Кировский,1,54.956777,82.921139
München,1,48.137193,11.575691
Калининград,1,54.710162,20.510137
Комсомольск-на-Амуре,1,50.550055,137.008685
Larnaca,1,34.917652,33.631253
Чернобыль,1,51.277841,30.210999
Фокино,1,53.455436,34.415923
Елизово,1,53.189231,158.382659
Уфа,1,54.735152,55.958736
Припять,1,51.405339,30.05807
Арсеньев,1,44.163345,133.268729
Genève,1,46.203548,6.140012
Благовещенск,1,50.257456,127.534611
Находка,1,42.824043,132.89282
Самара,1,53.195878,50.100202
Сочи,1,43.585472,39.723098
Boston,2,42.354371,-71.065489
Черемхово,1,53.137327,103.089377
Charlotte,1,35.230601,-80.84719
Уруша,1,54.046571,122.882991
Киров,1,58.603595,49.668023
Петропавловск-Камчатский,1,53.024265,158.643503
